"","Campus","StudyField","Branch","Role","EduLevel","ProgLang","Databases","Platform","WebFramework","Industry","AISearch","AIToolCurrently Using","Employment","Employed"
"377","Nelson Mandela Bay Campus","IT","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;Kotlin;Python;Rust;SQL;TypeScript","BigQuery;PostgreSQL;Redis","Google Cloud;Microsoft Azure;OpenShift","Next.js;React","Information Services, IT, Software Development, or other Technology","ChatGPT","Writing code;Documenting code;Testing code","Employed, full-time","Employed"
"378","Nelson Mandela Bay Campus","Computer Science","I am a developer by profession","Developer, full-stack","Something else","C#;C++;HTML/CSS;Java;JavaScript;Kotlin;PowerShell;SQL;TypeScript","Cosmos DB;Elasticsearch;Microsoft SQL Server;MongoDB","Google Cloud;Microsoft Azure;Netlify","ASP.NET CORE;Node.js;React","Information Services, IT, Software Development, or other Technology","Bing AI;ChatGPT","Learning about a codebase;Writing code;Documenting code;Debugging and getting help;Collaborating with teammates","Employed, full-time;Independent contractor, freelancer, or self-employed","Employed"
"379","Pretoria Campus","IT","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Scala;TypeScript","PostgreSQL","Microsoft Azure;Netlify","Gatsby;Node.js;Play Framework;React","Retail and Consumer Services","ChatGPT","Writing code;Debugging and getting help","Employed, full-time","Employed"
"380","Nelson Mandela Bay Campus","IT","I am a developer by profession","Senior Executive (C-Suite, VP, etc.)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript","Microsoft SQL Server;MySQL;PostgreSQL;Redis;SQLite","Cloudflare;Digital Ocean;Hetzner;Managed Hosting","Express;FastAPI;Next.js;Node.js;Nuxt.js;React;Vue.js;WordPress","Wholesale","ChatGPT","Project planning;Writing code;Documenting code;Debugging and getting help;Testing code","Employed, full-time","Employed"
"381","Nelson Mandela Bay Campus","Computer Science","I am a developer by profession","Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C#;Python","Microsoft SQL Server","Microsoft Azure","ASP.NET CORE","Information Services, IT, Software Development, or other Technology","ChatGPT","Writing code","Employed, full-time","Employed"
"382","Nelson Mandela Bay Campus","IT","I am a developer by profession","Engineering manager","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","JavaScript;Kotlin","MySQL;PostgreSQL;SQLite","Google Cloud;Vercel","Express;Next.js;Node.js;React","Financial Services","ChatGPT","Learning about a codebase;Writing code;Debugging and getting help","Employed, full-time","Employed"
"383","Nelson Mandela Bay Campus","Computer Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;Python;SQL","PostgreSQL;Redis;SQLite","Microsoft Azure;VMware","Django;Flask;React;Svelte","Information Services, IT, Software Development, or other Technology","ChatGPT","Writing code;Documenting code","Employed, full-time","Employed"
"384","Nelson Mandela Bay Campus","Data Science","I am a developer by profession","Developer, front-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript","PostgreSQL;Redis","Amazon Web Services (AWS);Cloudflare;Firebase;OVH","Angular;Express;React","Information Services, IT, Software Development, or other Technology","ChatGPT","Learning about a codebase;Writing code;Documenting code;Debugging and getting help;Testing code","Employed, full-time","Employed"
"385","Durban Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","JavaScript;Lua;Python;Scala;SQL;TypeScript","Cassandra;Elasticsearch;MariaDB;MongoDB;MySQL;Oracle;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Google Cloud;VMware","Angular;CodeIgniter;Django;Express;Laravel;Node.js;WordPress","Information Services, IT, Software Development, or other Technology","ChatGPT","Learning about a codebase;Writing code;Documenting code;Debugging and getting help;Testing code;Committing and reviewing code;Deployment and monitoring;Collaborating with teammates","Employed, full-time","Employed"
"386","Nelson Mandela Bay Campus","Data Science","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);JavaScript;Julia;Python;Rust;SQL","SQLite","Amazon Web Services (AWS)","FastAPI;Vue.js","Other","ChatGPT","Learning about a codebase;Writing code;Debugging and getting help","Employed, full-time","Employed"
"387","Durban Campus","Data Science","I am a developer by profession","Developer, full-stack","Some college/university study without earning a degree","C#;C++;GDScript;Haskell;HTML/CSS;JavaScript;PHP;Python;TypeScript","Elasticsearch;MariaDB","Hetzner","Express;Gatsby;Node.js;React","Information Services, IT, Software Development, or other Technology","Bing AI;ChatGPT;WolframAlpha","Writing code;Documenting code","Employed, full-time","Employed"
"388","Mbombela Campus","IT","I am a developer by profession","Project manager","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);C++;HTML/CSS;Java;JavaScript;TypeScript","MariaDB;Microsoft SQL Server;MongoDB;MySQL;SQLite","Managed Hosting","Deno;Express;Node.js;React","Information Services, IT, Software Development, or other Technology","Phind","Writing code;Debugging and getting help","Employed, part-time","Employed"
"389","Nelson Mandela Bay Campus","IT","I am a developer by profession","Developer, front-end","Some college/university study without earning a degree","Bash/Shell (all shells);C;C#;Elixir;Go;Haskell;HTML/CSS;JavaScript;Python;SQL;TypeScript","MariaDB;Neo4J;PostgreSQL;SQLite","Digital Ocean;Vercel","AngularJS;Express;FastAPI;Next.js;React;Vue.js","Healthcare","Bing AI;ChatGPT","Writing code","Employed, full-time;Student, part-time","Employed"
"390","Durban Campus","Data Science","I am a developer by profession","Developer, back-end","Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Python","Dynamodb;PostgreSQL;Redis","Amazon Web Services (AWS);Heroku;VMware","Angular;Django;Flask","Information Services, IT, Software Development, or other Technology","ChatGPT","Writing code","Employed, full-time","Employed"
"391","Durban Campus","Data Science","I am a developer by profession","Developer, mobile","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Objective-C;SQL;Swift;TypeScript","Cloud Firestore;Firebase Realtime Database;MariaDB;MongoDB;PostgreSQL;SQLite","Amazon Web Services (AWS);Digital Ocean;Firebase;Google Cloud;Managed Hosting;Microsoft Azure;Vercel","Angular;Express;Gatsby;Next.js;Node.js;React","Information Services, IT, Software Development, or other Technology","ChatGPT","Learning about a codebase;Writing code","Employed, full-time;Independent contractor, freelancer, or self-employed","Employed"
"392","Durban Campus","Data Science","I am a developer by profession","Developer, full-stack","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","HTML/CSS;Java;JavaScript;PHP;Python;SQL;Swift;TypeScript","MariaDB;MySQL;PostgreSQL","Amazon Web Services (AWS);Cloudflare;Digital Ocean;Google Cloud;Microsoft Azure","Express;Fastify;NestJS;Next.js;Node.js;React","Healthcare","ChatGPT","Writing code","Employed, full-time","Employed"
"393","Mbombela Campus","Computer Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Java;JavaScript;SQL","H2;Microsoft SQL Server;PostgreSQL","Microsoft Azure","Node.js;React;Spring Boot","Information Services, IT, Software Development, or other Technology","Bing AI;ChatGPT","Writing code;Documenting code","Independent contractor, freelancer, or self-employed","Unemployed"
"394","Durban Campus","Data Science","I am not primarily a developer, but I write code sometimes as part of my work/studies","Academic researcher","Professional degree (JD, MD, Ph.D, Ed.D, etc.)","C#;C++;HTML/CSS;Java;JavaScript;Kotlin;Objective-C;PHP;PowerShell;R;SQL;Swift","Firebase Realtime Database;MariaDB;MongoDB;MySQL;Redis;SQLite","Firebase","AngularJS;CodeIgniter;Express;jQuery;Laravel;Node.js;Nuxt.js","Higher Education","ChatGPT","Writing code","Employed, full-time;Independent contractor, freelancer, or self-employed","Employed"
"395","East London Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);Dart;Haskell;HTML/CSS;JavaScript;Kotlin;Nim;Python;Ruby;Rust;SQL;Swift;TypeScript;Zig","Cloud Firestore;SQLite;Supabase","Amazon Web Services (AWS);Vercel","Deno;Django;Fastify;jQuery;Next.js;Node.js;React","Information Services, IT, Software Development, or other Technology","Bing AI;ChatGPT","Learning about a codebase","Employed, full-time","Employed"
"396","Mbombela Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","GDScript;HTML/CSS;JavaScript;PHP;Python;Rust;SQL;TypeScript","MySQL;Redis;SQLite","Amazon Web Services (AWS);Fly.io","Deno;Express;Flask;jQuery;Laravel;Node.js;React;Remix;Svelte","Other","ChatGPT","Writing code","Employed, full-time;Independent contractor, freelancer, or self-employed","Employed"
"397","East London Campus","Computer Science","I am a developer by profession","Security professional","Some college/university study without earning a degree","Go;HTML/CSS;Java;Python;TypeScript","Dynamodb;Elasticsearch","Amazon Web Services (AWS)","ASP.NET CORE;Blazor;Next.js;Node.js;React","Information Services, IT, Software Development, or other Technology","ChatGPT","Documenting code;Testing code","Employed, full-time","Employed"
"398","Mbombela Campus","Computer Science","I am a developer by profession","Security professional","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;Elixir;JavaScript;Rust;TypeScript","Cosmos DB;InfluxDB;PostgreSQL;Redis","Microsoft Azure","ASP.NET CORE;Node.js;Phoenix","Information Services, IT, Software Development, or other Technology","Bing AI;ChatGPT","Writing code;Testing code","Employed, full-time;Student, part-time","Employed"
"399","Nelson Mandela Bay Campus","Computer Science","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);HTML/CSS;JavaScript;Lua;Python;Rust;SQL;TypeScript","InfluxDB;MySQL;PostgreSQL;SQLite","Amazon Web Services (AWS);Hetzner;Vercel","Express;Flask;Next.js;React","Other","Bing AI;ChatGPT;Google Bard AI","Writing code;Documenting code;Debugging and getting help;Testing code","Employed, full-time","Employed"
"400","Nelson Mandela Bay Campus","IT","I am a developer by profession","Developer, full-stack","Some college/university study without earning a degree","HTML/CSS;SQL;TypeScript","PostgreSQL","Amazon Web Services (AWS);Heroku;Netlify;Vercel","Next.js;React","Information Services, IT, Software Development, or other Technology","ChatGPT","Learning about a codebase;Writing code;Documenting code;Debugging and getting help","Employed, full-time","Employed"
"401","Nelson Mandela Bay Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C;HTML/CSS;JavaScript;MATLAB;PHP;Python;SQL;TypeScript","Dynamodb;MariaDB;MongoDB;MySQL;PostgreSQL;SQLite","Amazon Web Services (AWS);Heroku;VMware","Angular;AngularJS;Django;Express;Flask;jQuery;Laravel;NestJS;Next.js;Node.js;React;Vue.js","Retail and Consumer Services","ChatGPT","Learning about a codebase;Writing code;Documenting code;Debugging and getting help;Testing code;Deployment and monitoring;Collaborating with teammates","Employed, full-time","Employed"
"402","Nelson Mandela Bay Campus","IT","I am a developer by profession","Developer, full-stack","Some college/university study without earning a degree","Bash/Shell (all shells);C#;JavaScript;PHP;PowerShell;SQL;VBA","Microsoft Access;Microsoft SQL Server","Microsoft Azure","ASP.NET CORE;jQuery;WordPress","Higher Education","ChatGPT","Writing code","Employed, full-time","Employed"
"403","Nelson Mandela Bay Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","JavaScript;Ruby","PostgreSQL;Redis","Amazon Web Services (AWS);Digital Ocean;Vercel","React;Ruby on Rails","Healthcare","Bing AI;ChatGPT","Writing code","Employed, full-time","Employed"
"404","Pretoria Campus","Data Science","I am a developer by profession","Developer, back-end","Professional degree (JD, MD, Ph.D, Ed.D, etc.)","C#;SQL","Microsoft SQL Server","Microsoft Azure","ASP.NET;ASP.NET CORE","Information Services, IT, Software Development, or other Technology","ChatGPT","Learning about a codebase;Writing code","Employed, full-time","Employed"
"405","Mbombela Campus","IT","I am a developer by profession","Developer, front-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","JavaScript;TypeScript","Firebase Realtime Database;MySQL;PostgreSQL;SQLite","Digital Ocean;Firebase;Google Cloud;Heroku;Netlify;Vercel","Express;Next.js;Node.js;React","Information Services, IT, Software Development, or other Technology","ChatGPT","Project planning","Employed, full-time","Employed"
"406","Durban Campus","Computer Science","I am a developer by profession","Developer, mobile","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C++;Dart;Go;Java;JavaScript;Kotlin;Objective-C;Python;Swift;TypeScript","BigQuery","Amazon Web Services (AWS);Google Cloud","Node.js","Information Services, IT, Software Development, or other Technology","Bing AI;ChatGPT;Google Bard AI","Writing code;Documenting code","Employed, full-time","Employed"
"407","Durban Campus","Computer Science","I used to be a developer by profession, but no longer am","Engineering manager","Some college/university study without earning a degree","Bash/Shell (all shells);Go;HTML/CSS;JavaScript;PHP;SQL","MariaDB;MySQL;Redis","Amazon Web Services (AWS);Cloudflare;Firebase","CodeIgniter;jQuery;React;Vue.js","Information Services, IT, Software Development, or other Technology","Bing AI;ChatGPT;Phind;WolframAlpha","Writing code","Employed, full-time","Employed"
"408","Nelson Mandela Bay Campus","IT","I am a developer by profession","Developer, full-stack","Something else","HTML/CSS;Java;JavaScript;Perl;PHP;Python;Ruby;SQL;Swift;TypeScript;VBA;Visual Basic (.Net)","IBM DB2;MariaDB;MongoDB;MySQL;SQLite","Amazon Web Services (AWS);Cloudflare;Google Cloud;VMware","Angular;AngularJS;Django;Drupal;Flask;jQuery;Node.js;Ruby on Rails;Vue.js;WordPress","Other","ChatGPT","Writing code","Employed, full-time;Independent contractor, freelancer, or self-employed;Employed, part-time","Employed"
"409","Nelson Mandela Bay Campus","IT","I am a developer by profession","Other (please specify):","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C#;C++;HTML/CSS;JavaScript;Kotlin;PHP;Python;Rust;Scala;SQL;Visual Basic (.Net)","MySQL","Amazon Web Services (AWS);Google Cloud;Microsoft Azure;VMware","ASP.NET;ASP.NET CORE;Django;Node.js","Manufacturing, Transportation, or Supply Chain","ChatGPT","Learning about a codebase;Writing code;Documenting code;Debugging and getting help","Employed, full-time;Student, full-time","Employed"
"410","East London Campus","IT","I am a developer by profession","Developer, full-stack","Something else","HTML/CSS;JavaScript;TypeScript","Microsoft SQL Server;MongoDB;MySQL","Cloudflare;Microsoft Azure;Netlify;Vercel","Angular;Express;Node.js;React","Information Services, IT, Software Development, or other Technology","ChatGPT","Learning about a codebase;Writing code;Documenting code;Debugging and getting help","Employed, full-time","Employed"
"411","Nelson Mandela Bay Campus","IT","I used to be a developer by profession, but no longer am","Other (please specify):","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C#;Java;MATLAB;Python;SQL","Microsoft SQL Server;Oracle;PostgreSQL;Redis;SQLite","Cloudflare;Microsoft Azure","Angular;Blazor;jQuery;Node.js;Spring Boot","Other","Bing AI;ChatGPT;WolframAlpha","Writing code;Debugging and getting help;Collaborating with teammates ;Other (please describe)","Employed, full-time","Employed"
"412","Durban Campus","Data Science","I am a developer by profession","Developer, mobile","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;Dart;JavaScript","Firebase Realtime Database;PostgreSQL;Supabase","Firebase;Vercel","React","Financial Services","Bing AI;ChatGPT","Learning about a codebase;Writing code;Debugging and getting help","Employed, full-time","Employed"
"413","Mbombela Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;Python;Rust;SQL;TypeScript","PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Firebase;Google Cloud","Angular;Deno;NestJS","Manufacturing, Transportation, or Supply Chain","ChatGPT","Writing code;Debugging and getting help","Employed, full-time","Employed"
"414","Mbombela Campus","Computer Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);C;C++;Go;Java;Lua;Python;Rust","MongoDB;PostgreSQL","Amazon Web Services (AWS);Cloudflare","Django","Financial Services","ChatGPT","Documenting code;Debugging and getting help;Committing and reviewing code","Employed, full-time","Employed"
"415","East London Campus","Computer Science","I am a developer by profession","Developer, full-stack","Some college/university study without earning a degree","Bash/Shell (all shells);C#;C++;HTML/CSS;Java;JavaScript;Lua;PHP;PowerShell;SQL;TypeScript","Cloud Firestore;MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Cloudflare;Firebase;Google Cloud","jQuery;Laravel;Next.js;Node.js;React;WordPress","Financial Services","Bing AI;ChatGPT","Writing code;Documenting code;Debugging and getting help;Testing code","Employed, full-time;Independent contractor, freelancer, or self-employed","Employed"
"416","Mbombela Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;TypeScript","Elasticsearch;MySQL","Amazon Web Services (AWS);Cloudflare;Vercel","Gatsby;Next.js;Node.js;React","Other","ChatGPT","Writing code;Documenting code;Debugging and getting help;Committing and reviewing code","Employed, full-time","Employed"
"417","Pretoria Campus","Computer Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","F#;Go;Java;Kotlin;Rust;SQL;Swift","Dynamodb;PostgreSQL;SQLite","Amazon Web Services (AWS);Cloudflare;Digital Ocean;Hetzner","Deno;Elm;React;Svelte","Other","ChatGPT;WolframAlpha","Learning about a codebase;Writing code","Independent contractor, freelancer, or self-employed","Unemployed"
"418","Pretoria Campus","Data Science","I am a developer by profession","Developer, full-stack","Some college/university study without earning a degree","C#;HTML/CSS;JavaScript;Ruby;SQL;TypeScript","PostgreSQL;Redis","Amazon Web Services (AWS);Vercel","Next.js;Node.js;React;Ruby on Rails","Financial Services","ChatGPT","Writing code","Employed, full-time","Employed"
"419","Mbombela Campus","IT","I am a developer by profession","Developer, desktop or enterprise applications","Professional degree (JD, MD, Ph.D, Ed.D, etc.)","C;C#;C++;Groovy;HTML/CSS;Java;Kotlin;Nim;Objective-C;Rust;SQL","Oracle;Redis","Amazon Web Services (AWS);Microsoft Azure","Node.js;React;Vue.js","Information Services, IT, Software Development, or other Technology","Bing AI;ChatGPT","Writing code;Documenting code;Debugging and getting help;Testing code","Independent contractor, freelancer, or self-employed;Employed, part-time","Employed"
"420","Mbombela Campus","Data Science","I am a developer by profession","Developer, embedded applications or devices","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","C;C#;C++;Go;Groovy;HTML/CSS;Java;JavaScript;Objective-C;Python;Rust;SQL;TypeScript","MySQL;PostgreSQL;SQLite","Amazon Web Services (AWS);Digital Ocean;Google Cloud;Linode, now Akamai;Microsoft Azure;OVH;Vultr","Angular;FastAPI;Flask;Node.js;React","Information Services, IT, Software Development, or other Technology","ChatGPT","Writing code;Debugging and getting help","Employed, full-time","Employed"
"421","Nelson Mandela Bay Campus","Computer Science","I am a developer by profession","Other (please specify):","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Bash/Shell (all shells);Java;JavaScript;Python;Solidity;SQL","BigQuery;MySQL;Neo4J;PostgreSQL;SQLite","Amazon Web Services (AWS);Google Cloud;Microsoft Azure","Express;Node.js;React;Spring Boot","Information Services, IT, Software Development, or other Technology","ChatGPT;WolframAlpha","Writing code;Debugging and getting help","Employed, full-time;Independent contractor, freelancer, or self-employed;Employed, part-time","Employed"
"422","Durban Campus","IT","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);HTML/CSS;JavaScript;Ruby;SQL","Elasticsearch;MySQL;PostgreSQL;Redis;Snowflake","Amazon Web Services (AWS);Digital Ocean;Heroku;Hetzner","jQuery;Node.js;React;Ruby on Rails","Manufacturing, Transportation, or Supply Chain","Bing AI;ChatGPT;Google Bard AI;You.com","Other (please describe)","Employed, full-time","Employed"
"423","Nelson Mandela Bay Campus","Data Science","I am a developer by profession","Developer, back-end","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","JavaScript;SQL;TypeScript","MongoDB;MySQL;PostgreSQL","Amazon Web Services (AWS)","Express;NestJS;Node.js;WordPress","Insurance","ChatGPT","Writing code;Testing code","Employed, full-time","Employed"
"424","Nelson Mandela Bay Campus","IT","I am a developer by profession","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript","Microsoft SQL Server","Microsoft Azure;Netlify;Render","ASP.NET CORE;Blazor;Nuxt.js;Svelte;Vue.js","Manufacturing, Transportation, or Supply Chain","ChatGPT","Writing code;Debugging and getting help","Employed, full-time","Employed"
"425","Nelson Mandela Bay Campus","Computer Science","I am a developer by profession","Developer, mobile","Associate degree (A.A., A.S., etc.)","Dart;GDScript;HTML/CSS;JavaScript;Rust;TypeScript","Dynamodb","Amazon Web Services (AWS);Firebase;Google Cloud;Render","Node.js;React;Vue.js","Information Services, IT, Software Development, or other Technology","Bing AI;ChatGPT;Google Bard AI","Writing code;Documenting code;Debugging and getting help;Testing code","Employed, full-time","Employed"
"426","East London Campus","IT","I am a developer by profession","Developer, game or graphics","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Assembly;C;Python;Rust;Zig","MySQL;PostgreSQL;SQLite","Google Cloud","Express;Next.js;React","Information Services, IT, Software Development, or other Technology","ChatGPT","Project planning;Debugging and getting help;Testing code","Employed, full-time","Employed"
"427","Pretoria Campus","Computer Science","I am a developer by profession","Developer, embedded applications or devices","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","HTML/CSS;JavaScript;Perl;PowerShell;Python;Rust;SQL;TypeScript","MySQL;PostgreSQL;Redis;SQLite","Amazon Web Services (AWS);Google Cloud;Microsoft Azure","Angular;FastAPI;Flask;jQuery;React","Information Services, IT, Software Development, or other Technology","Bing AI;ChatGPT;Google Bard AI;WolframAlpha","Learning about a codebase;Debugging and getting help","Employed, full-time","Employed"
"428","East London Campus","IT","I am a developer by profession","Developer, game or graphics","Associate degree (A.A., A.S., etc.)","JavaScript;Rust;TypeScript","Dynamodb","Amazon Web Services (AWS)","Node.js","Other","ChatGPT","Writing code","Employed, full-time","Employed"
"429","Mbombela Campus","Computer Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Elixir;HTML/CSS;JavaScript;Ruby;SQL","Elasticsearch;MySQL;PostgreSQL;Redis","Amazon Web Services (AWS);Digital Ocean;Fly.io;Heroku;Render;Vultr","FastAPI;jQuery;Phoenix;Ruby on Rails","Other","ChatGPT","Writing code","Employed, full-time;Independent contractor, freelancer, or self-employed","Employed"
"430","East London Campus","Data Science","I am a developer by profession","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Bash/Shell (all shells);HTML/CSS;JavaScript;Python;Ruby;Rust;SQL;TypeScript","PostgreSQL;Redis","Amazon Web Services (AWS);Cloudflare;Digital Ocean;Netlify","Express;NestJS;Next.js;Node.js;React;Ruby on Rails;Svelte","Financial Services","Bing AI;ChatGPT","Writing code","Employed, full-time","Employed"
"431","Durban Campus","Data Science","I am a developer by profession","Developer, back-end","Some college/university study without earning a degree","Bash/Shell (all shells);C#;JavaScript;Python;SQL","Microsoft SQL Server;MongoDB;Redis","Microsoft Azure","ASP.NET CORE;Node.js;Vue.js","Information Services, IT, Software Development, or other Technology","ChatGPT","Project planning;Writing code;Debugging and getting help","Employed, full-time","Employed"
"432","Durban Campus","Computer Science","I am a developer by profession","Senior Executive (C-Suite, VP, etc.)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C#;HTML/CSS;JavaScript;PowerShell;TypeScript","Dynamodb;Elasticsearch;Microsoft SQL Server;MySQL;Redis","Amazon Web Services (AWS);Cloudflare;Google Cloud;Heroku;Microsoft Azure","Angular;ASP.NET CORE;Blazor;Django;FastAPI;React;Vue.js","Information Services, IT, Software Development, or other Technology","Bing AI;ChatGPT","Writing code","Employed, full-time","Employed"
"433","Mbombela Campus","IT","I am a developer by profession","Research & Development role","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","C#;C++;HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;Solidity;SQL;TypeScript;VBA;Visual Basic (.Net)","BigQuery;Microsoft Access;MySQL;SQLite","Cloudflare;Netlify;OVH;Vercel","jQuery;Next.js;Node.js","Manufacturing, Transportation, or Supply Chain","Bing AI;ChatGPT;Google Bard AI","Learning about a codebase;Writing code;Documenting code;Debugging and getting help;Testing code;Committing and reviewing code","Employed, full-time","Employed"
"434","Pretoria Campus","Computer Science","I am not primarily a developer, but I write code sometimes as part of my work/studies","Other (please specify):","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","JavaScript;Python;SQL","BigQuery;Cloud Firestore;Elasticsearch;Firebase Realtime Database;MariaDB;MySQL;Oracle;PostgreSQL;Snowflake;Supabase","Amazon Web Services (AWS);Cloudflare;Firebase;Google Cloud;Oracle Cloud Infrastructure (OCI)","Django;Drupal;Node.js","Other","ChatGPT","Learning about a codebase;Writing code;Documenting code","Employed, full-time","Employed"
"435","Pretoria Campus","Computer Science","I am a developer by profession","Developer, back-end","Some college/university study without earning a degree","PHP;Python","Elasticsearch;MySQL;Redis","Amazon Web Services (AWS);Digital Ocean;VMware","Laravel;WordPress","Information Services, IT, Software Development, or other Technology","ChatGPT","Learning about a codebase","Employed, full-time","Employed"
"436","Durban Campus","Data Science","I am a developer by profession","Developer, desktop or enterprise applications","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Dart;Kotlin;Python;Swift;TypeScript","BigQuery;Cloud Firestore;Redis","Google Cloud;Microsoft Azure","Express;NestJS;Node.js","Information Services, IT, Software Development, or other Technology","ChatGPT","Writing code","Employed, full-time","Employed"
"437","Durban Campus","IT","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","C;C#;C++;HTML/CSS;Java;JavaScript;Kotlin;PHP;PowerShell;Python;SQL;TypeScript;VBA;Visual Basic (.Net)","Firebase Realtime Database;MariaDB;Microsoft SQL Server;MySQL;PostgreSQL;SQLite","Cloudflare;Digital Ocean;Firebase;Fly.io;Heroku;Netlify;Vercel","ASP.NET CORE;Deno;Express;jQuery;Laravel;Node.js;Nuxt.js;Vue.js;WordPress","Information Services, IT, Software Development, or other Technology","Bing AI;ChatGPT;Perplexity AI","Writing code;Debugging and getting help","Independent contractor, freelancer, or self-employed","Unemployed"
"438","Nelson Mandela Bay Campus","Data Science","I am a developer by profession","Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Go;JavaScript;Python;TypeScript","Dynamodb;MariaDB;Microsoft SQL Server;MongoDB;MySQL","Amazon Web Services (AWS);Digital Ocean;Netlify;Vultr","Express;FastAPI;Fastify;Gatsby;Lit;Node.js;React;Vue.js","Retail and Consumer Services","ChatGPT;Google Bard AI","Learning about a codebase;Writing code;Debugging and getting help","Employed, full-time","Employed"
"439","Durban Campus","Data Science","I am not primarily a developer, but I write code sometimes as part of my work/studies","Developer, QA or test","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","JavaScript;Python","MySQL;SQLite","Amazon Web Services (AWS);Microsoft Azure","Flask;WordPress","Information Services, IT, Software Development, or other Technology","Bing AI;ChatGPT","Project planning;Writing code;Debugging and getting help","Employed, full-time;Independent contractor, freelancer, or self-employed","Employed"
